"","school_utd_rank","school_utd_id","phd_utd_rank","phd_utd_id","name","school","school_fire_id","rank","joinyear","USNWR_Name","CityState","USNWRLocation","Zip","Degrees","DepartmentSchool1","DepartmentSchool2","school_usnwr_rank","USNWR_rank_orig","usnwr_type","enrollment","phd_orig","phd","degree","phdyear","sample"
"13",1,1,9,9,"Vishny, Robert W.","University of Chicago",130,"Prof","1985","University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","MIT","Massachusetts Inst of Tech","PHD",1985,"UTD"
"14",1,1,9,9,"Rajan, Raghuram G.","University of Chicago",130,"Prof","1991","University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","MIT","Massachusetts Inst of Tech","PHD",1991,"UTD"
"15",1,1,9,9,"Kashyap, Anil","University of Chicago",130,"Prof","1991","University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","MIT","Massachusetts Inst of Tech","PHD",1989,"UTD"
"16",1,1,14,14,"Weber, Michael","University of Chicago",130,"Assoc","2014","University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Berkeley","U of California-Berkeley","PHD",2014,"UTD"
"17",1,1,24,24,"Diamond, Douglas W.","University of Chicago",130,"Prof","1979","University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Yale","Yale University","PHD",1980,"UTD"
"18",1,1,25,25,"Constantinides, George M.","University of Chicago",130,"Prof","1978","University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Indiana","Indiana University","DBA",1975,"UTD"
"19",1,1,29,29,"Hansen, Lars Peter","University of Chicago",130,"Prof","1981","University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Minnesota","University of Minnesota","PHD",NA,"UTD"
"20",1,1,NA,NA,"Kempf, Elisabeth","University of Chicago",130,"Asst",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298",NA,NA,NA,NA,"UTD"
"21",1,1,NA,NA,"Nagel, Stefan","University of Chicago",130,"Prof",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","London","International","PHD",2003,"UTD"
"22",1,1,NA,NA,"Yannelis, Constantine","University of Chicago",130,"Asst",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298",NA,NA,NA,NA,"UTD"
"23",1,1,NA,NA,"Noel, Pascal","University of Chicago",130,"Asst",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298",NA,NA,NA,NA,"UTD"
"24",1,1,NA,NA,"Nelson, Scott","University of Chicago",130,"Asst",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298",NA,NA,NA,NA,"UTD"
"25",1,1,NA,NA,"Gormsen, Niels","University of Chicago",130,"Asst",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Copenhagen","International","PHD",NA,"UTD"
"26",1,1,NA,NA,"He, Zhiguo","University of Chicago",130,"Prof",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298",NA,NA,NA,NA,"UTD"
"27",1,1,NA,NA,"Koijen, Ralph S.J.","University of Chicago",130,"Prof",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298",NA,NA,NA,NA,"UTD"
"28",1,1,NA,NA,"Jeffers, Jessica S.","University of Chicago",130,"Asst",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298",NA,NA,NA,NA,"UTD"
"29",1,1,NA,NA,"Hartzmark, Samuel M.","University of Chicago",130,"Assoc",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298",NA,NA,NA,NA,"UTD"
"30",2,2,1,1,"Lewis, Karen K.","University of Pennsylvania",467,"Prof","1991","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Chicago","University of Chicago","PHD",1985,"UTD"
"31",2,2,1,1,"Gibbons, Michael R.","University of Pennsylvania",467,"Prof","1989","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Chicago","University of Chicago","PHD",1980,"UTD"
"32",2,2,1,1,"Keim, Donald B.","University of Pennsylvania",467,"Prof","1982","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Chicago","University of Chicago","PHD",1983,"UTD"
"33",2,2,1,1,"Gyourko, Joseph E.","University of Pennsylvania",467,"Prof","1984","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Chicago","University of Chicago","PHD",1984,"UTD"
"34",2,2,1,1,"Roussanov, Nikolai","University of Pennsylvania",467,"Prof","2007","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Chicago","University of Chicago","PHD",2007,"UTD"
"35",2,2,1,1,"Musto, David K.","University of Pennsylvania",467,"Prof","1995","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Chicago","University of Chicago","PHD",1995,"UTD"
"36",2,2,1,1,"MacKinlay, A. Craig","University of Pennsylvania",467,"Prof","1984","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Chicago","University of Chicago","PHD",1985,"UTD"
"37",2,2,1,1,"Jaffe, Jeffrey F.","University of Pennsylvania",467,"Assoc","1973","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Chicago","University of Chicago","PHD",1972,"UTD"
"38",2,2,1,1,"Yaron, Amir","University of Pennsylvania",467,"Prof","1997","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Chicago","University of Chicago","PHD",1994,"UTD"
"39",2,2,1,1,"Stambaugh, Robert F.","University of Pennsylvania",467,"Prof","1988","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Chicago","University of Chicago","PHD",1981,"UTD"
"40",2,2,1,1,"Taylor, Lucian A.","University of Pennsylvania",467,"Assoc","2008","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Chicago","University of Chicago","PHD",2008,"UTD"
"41",2,2,2,2,"Gultekin, N. Bulent","University of Pennsylvania",467,"Assoc","1981","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Penn","University of Pennsylvania","PHD",1976,"UTD"
"42",2,2,4,4,"Wachter, Jessica","University of Pennsylvania",467,"Prof","2003","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Harvard","Harvard University","PHD",1996,"UTD"
"43",2,2,4,4,"Diamond, William","University of Pennsylvania",467,"Asst",NA,"University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Harvard","Harvard University","PHD",2018,"UTD"
"44",2,2,4,4,"Smetters, Kent A.","University of Pennsylvania",467,"Prof","1998","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Harvard","Harvard University","PHD",1995,"UTD"
"45",2,2,5,5,"Handbury, Jessie","University of Pennsylvania",467,"Asst","2013","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Columbia","Columbia University","PHD",2013,"UTD"
"46",2,2,5,5,"Schwarz, Krista","University of Pennsylvania",467,"Asst","2010","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Columbia","Columbia University","PHD",2010,"UTD"
"47",2,2,7,7,"Wang, Chaojun","University of Pennsylvania",467,"Asst","2017","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Stanford","Stanford University","PHD",2017,"UTD"
"48",2,2,7,7,"Schwert, Michael","University of Pennsylvania",467,"Asst","2018","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Stanford","Stanford University","PHD",2016,"UTD"
"49",2,2,7,7,"Levit, Doron Y.","University of Pennsylvania",467,"Asst","2010","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Stanford","Stanford University","PHD",2011,"UTD"
"50",2,2,7,7,"Landvoigt, Tim","University of Pennsylvania",467,"Asst","2017","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Stanford","Stanford University","PHD",2013,"UTD"
"51",2,2,7,7,"Ramaswamy, Krishna","University of Pennsylvania",467,"Prof","1985","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Stanford","Stanford University","PHD",1978,"UTD"
"52",2,2,8,8,"Van Binsbergen, Jules H.","University of Pennsylvania",467,"Prof","2014","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Duke","Duke University","PHD",2007,"UTD"
"53",2,2,9,9,"Siegel, Jeremy J.","University of Pennsylvania",467,"Prof","1976","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","MIT","Massachusetts Inst of Tech","PHD",1971,"UTD"
"54",2,2,9,9,"Souleles, Nicholas S.","University of Pennsylvania",467,"Prof","1995","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","MIT","Massachusetts Inst of Tech","PHD",1995,"UTD"
"55",2,2,9,9,"Harari, Mariaflavia","University of Pennsylvania",467,"Asst","2015","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","MIT","Massachusetts Inst of Tech","PHD",2016,"UTD"
"56",2,2,9,9,"Sinai, Todd","University of Pennsylvania",467,"C-Pr","1997","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","MIT","Massachusetts Inst of Tech","PHD",1997,"UTD"
"57",2,2,9,9,"Dou, Winston Wei","University of Pennsylvania",467,"Asst","2016","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","MIT","Massachusetts Inst of Tech","PHD",2017,"UTD"
"58",2,2,9,9,"Wong, Maisy","University of Pennsylvania",467,"Assoc","2017","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","MIT","Massachusetts Inst of Tech","PHD",2008,"UTD"
"59",2,2,9,9,"Abel, Andrew B.","University of Pennsylvania",467,"Prof","1986","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","MIT","Massachusetts Inst of Tech","PHD",1978,"UTD"
"60",2,2,10,10,"Keys, Benjamin","University of Pennsylvania",467,"Asst","2019","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Michigan","University of Michigan","PHD",2009,"UTD"
"61",2,2,14,14,"Roberts, Michael R.","University of Pennsylvania",467,"Prof","2010","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Berkeley","U of California-Berkeley","PHD",2001,"UTD"
"62",2,2,14,14,"Cuoco, Domenico","University of Pennsylvania",467,"Assoc","1994","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Berkeley","U of California-Berkeley","PHD",1994,"UTD"
"63",2,2,14,14,"Ferreira, Fernando V.","University of Pennsylvania",467,"Prof","2004","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Berkeley","U of California-Berkeley","PHD",2004,"UTD"
"64",2,2,19,19,"Wachter, Susan M.","University of Pennsylvania",467,"Prof","1972","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Boston Col","Boston College","PHD",1974,"UTD"
"65",2,2,19,19,"Gilje, Erik P.","University of Pennsylvania",467,"Asst","2013","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Boston Col","Boston College","PHD",2014,"UTD"
"66",2,2,28,28,"Gomes, Joao F.","University of Pennsylvania",467,"C-Pr","1997","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Rochester","University of Rochester","PHD",1997,"UTD"
"67",2,2,29,29,"Kihlstrom, Richard E.","University of Pennsylvania",467,"Prof","1979","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Minnesota","University of Minnesota","PHD",1968,"UTD"
"68",2,2,33,33,"Glode, Vincent","University of Pennsylvania",467,"Assoc","2009","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Car Mellon","Carnegie Mellon University","PHD",2009,"UTD"
"69",2,2,40,40,"Mitchell, Olivia S.","University of Pennsylvania",467,"Prof","1993","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Wisconsin","Univ of Wisconsin-Madison","PHD",1978,"UTD"
"70",2,2,73,73,"Yilmaz, Bilge","University of Pennsylvania",467,"Prof","1998","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Princeton","Princeton University","PHD",1998,"UTD"
"71",2,2,73,73,"Herring, Richard J.","University of Pennsylvania",467,"Prof","1972","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Princeton","Princeton University","PHD",1973,"UTD"
"72",2,2,NA,NA,"Drechsler, Itamar","University of Pennsylvania",467,"Assoc",NA,"University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042",NA,NA,NA,NA,"UTD"
"73",2,2,NA,NA,"Harrington, Joseph","University of Pennsylvania",467,"C-Pr",NA,"University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042",NA,NA,"PHD",NA,"UTD"
"74",2,2,NA,NA,"Salgado, Sergio","University of Pennsylvania",467,"Asst",NA,"University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042",NA,NA,NA,NA,"UTD"
"75",2,2,NA,NA,"Lemaire, Jean H.","University of Pennsylvania",467,"Prof","1987","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Brussels","International","PHD",1973,"UTD"
"76",2,2,NA,NA,"Duranton, Gilles","University of Pennsylvania",467,"Prof","2012","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","EHESS","International","PHD",1997,"UTD"
"77",2,2,NA,NA,"Goldstein, Itay","University of Pennsylvania",467,"Prof",NA,"University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Tel Aviv","International","PHD",2001,"UTD"
"78",2,2,NA,NA,"Keller, Lorena","University of Pennsylvania",467,"Asst",NA,"University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042",NA,NA,NA,NA,"UTD"
"79",2,2,NA,NA,"Catherine, Sylvain","University of Pennsylvania",467,"Asst","2018","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","HEC-Paris","International","PHD",2019,"UTD"
"80",2,2,NA,NA,"Jermann, Urban J.","University of Pennsylvania",467,"Prof","1995","University of Pennsylvania","Philadelphia, PA","Philadelphia, PA","19104-6367","BSE,MBA,PHD","Finance Department/Bus Econ & Public Policy Dp/Department of Real Estate","Wharton School",8,"8","National Universities","60,042","Geneva","International","PHD",1994,"UTD"
"81",3,3,1,1,"Lynch, Anthony W.","New York University",407,"Prof","1994","New York University","New York, NY","New York, NY","10012-1126","BS,MBA,MS,PHD","Department of Finance","Stern School of Bus",30,"30","National Universities","54,880","Chicago","University of Chicago","PHD",1994,"UTD"
"82",3,3,1,1,"Levich, Richard M.","New York University",407,"Prof","1975","New York University","New York, NY","New York, NY","10012-1126","BS,MBA,MS,PHD","Department of Finance","Stern School of Bus",30,"30","National Universities","54,880","Chicago","University of Chicago","PHD",1977,"UTD"
"83",3,3,1,1,"Lenzu, Simone","New York University",407,"Asst","2018","New York University","New York, NY","New York, NY","10012-1126","BS,MBA,MS,PHD","Department of Finance","Stern School of Bus",30,"30","National Universities","54,880","Chicago","University of Chicago","PHD",NA,"UTD"
"84",3,3,1,1,"Savov, Alexi","New York University",407,"Assoc","2010","New York University","New York, NY","New York, NY","10012-1126","BS,MBA,MS,PHD","Department of Finance","Stern School of Bus",30,"30","National Universities","54,880","Chicago","University of Chicago","PHD",2010,"UTD"
"85",3,3,2,2,"Hasbrouck, Joel S.","New York University",407,"Prof","1983","New York University","New York, NY","New York, NY","10012-1126","BS,MBA,MS,PHD","Department of Finance","Stern School of Bus",30,"30","National Universities","54,880","Penn","University of Pennsylvania","PHD",1981,"UTD"
"86",3,3,2,2,"Carpenter, Jennifer N.","New York University",407,"Prof","1995","New York University","New York, NY","New York, NY","10012-1126","BS,MBA,MS,PHD","Department of Finance","Stern School of Bus",30,"30","National Universities","54,880","Penn","University of Pennsylvania","PHD",1995,"UTD"
"87",3,3,3,3,"Amihud, Yakov","New York University",407,"Prof","1991","New York University","New York, NY","New York, NY","10012-1126","BS,MBA,MS,PHD","Department of Finance","Stern School of Bus",30,"30","National Universities","54,880","NYU","New York University","PHD",1975,"UTD"
"88",3,3,3,3,"Parlatore, Cecilia","New York University",407,"Asst","2014","New York University","New York, NY","New York, NY","10012-1126","BS,MBA,MS,PHD","Department of Finance","Stern School of Bus",30,"30","National Universities","54,880","NYU","New York University","PHD",NA,"UTD"
"89",3,3,3,3,"Acharya, Viral","New York University",407,"Prof","2008","New York University","New York, NY","New York, NY","10012-1126","BS,MBA,MS,PHD","Department of Finance","Stern School of Bus",30,"30","National Universities","54,880","NYU","New York University","PHD",2002,"UTD"
